Low voted user	Top Voted user	Weight
4566161	6567275	1
8353019	6124708	2
6124708	6124708	1
5647049	6124708	2
7079025	6124708	2
7177498	6124708	2
6527844	2406211	1
7654873	2406211	2
6222152	5758328	1
4395287	1002621	2
3856177	1002621	1
7461044	1002621	2
7466829	1002621	2
6438201	4281779	1
6313073	2016836	1
2513159	2016836	2
5395185	4004133	1
3299574	1479535	1
3689082	2680216	2
3624793	2680216	1
5429061	5437591	1
5429061	2806996	1
4848302	4592928	1
4671195	4592928	2
4409650	3425110	1
4037707	3425110	2
5021167	2137269	1
4937944	2137269	2
2474872	3639582	1
3668936	191226	1
3650375	191226	2
1582196	3023877	2
2981058	3023877	1
1424290	1009413	1
2201975	1009413	2
49294	848164	2
2779757	848164	2
408318	848164	2
1272616	848164	1
410856	410856	1
3176303	7393478	1
10352943	6123284	1
1483413	6123284	1
1479535	4178767	1
556526	4178767	1
3801947	4178767	1
4996204	2606013	1
5110237	5894191	1
5058679	5814792	1
5053002	2031863	1
4306798	1055103	1
1451859	4746418	1
3629257	8655	1
2796349	1278604	1
2666313	2788	1
4997649	3574334	1
3574334	5053002	5
4997649	5053002	6
4997649	1462830	1
1462830	5053002	5
1923179	1947677	4
1488021	1947677	4
1488021	2590980	3
1488021	2660181	1
1923179	2590980	3
2590980	1947677	1
1136371	1947677	4
1136371	2590980	3
1136371	2660181	1
2472289	1947677	4
2472289	2590980	3
2472289	2660181	1
1923179	2660181	1
2660181	1947677	3
2660181	2590980	2
1556487	1402433	1
1402433	670396	2
1402433	741747	2
1335954	1402433	1
1335954	670396	3
1335954	741747	3
1335954	1645503	1
676755	1402433	1
676755	670396	3
676755	741747	3
676755	1645503	1
1572095	1402433	1
1572095	670396	3
1572095	741747	3
1572095	1645503	1
1550807	1402433	1
1550807	670396	3
1550807	741747	3
1550807	1645503	1
1556487	670396	3
1556487	741747	3
583301	1402433	1
583301	670396	3
583301	741747	3
583301	1645503	1
1556487	1645503	1
1645503	670396	2
1645503	741747	2
2560241	363341	6
8398927	6700627	1
5477594	6542267	1
6542267	440646	1
5477594	2848941	1
2848941	440646	1
5477594	440646	2
5477594	5641669	1
5641669	440646	1
3781199	454780	2
3781199	3430879	1
3430879	454780	1
3430879	6683128	1
3781199	6683128	2
3859574	3686138	1
3859574	3856753	3
3225004	3686138	1
3225004	3856753	3
2516529	3686138	1
3686138	3856753	2
2516529	3856753	3
2334320	3686138	1
2334320	3856753	3
6518078	8438534	1
8438534	2297722	1
6518078	4314475	1
4314475	2297722	1
6518078	2297722	2
2419686	5991278	2
2419686	2159528	2
7058735	5991278	2
7058735	2159528	2
8309060	3588584	4
1784053	3588584	4
7246191	8250186	2
7246191	1234260	1
1234260	8250186	1
7246191	4878695	1
4878695	8250186	1
7940355	1846087	3
7940355	2542525	1
2542525	1846087	2
6707521	7222236	1
7222236	7692672	2
6707521	7692672	3
7428715	7509039	1
7509039	5161346	1
7428715	6726597	1
6726597	5161346	1
7428715	5161346	2
4181180	7509039	1
4181180	6726597	1
4181180	5161346	2
3537915	3073244	4
4461239	2023066	2
4461239	3164751	2
4909783	2801559	4
1190288	3519413	2
404335	3519413	2
404335	265561	2
1190288	265561	2
2138752	3519413	2
2138752	265561	2
2276736	2333214	4
2059996	31671	3
2059996	2668119	1
2668119	31671	2
1341418	1428241	4
1456376	1428241	4
7940355	5924562	1
5924562	5459839	1
7940355	5459839	2
4028085	5924562	1
4028085	5459839	2
1974790	6680578	1
1974790	4915375	1
1974790	5437621	1
4265798	5670520	3
2754599	5670520	3
1760937	462627	3
1374796	3900153	1
3900153	5111146	1
1374796	5111146	2
4505901	3498950	2
4822032	3903374	2
1218380	4478897	3
4523203	2065597	2
4523203	1308757	1
1308757	2065597	1
983438	2758393	2
983438	240613	1
240613	2758393	1
3581423	2846794	1
3581423	1169959	2
2028856	2846794	1
2846794	1169959	1
2028856	1169959	2
1289495	1414562	3
591282	1414562	3
3465076	1414562	3
3380148	2211053	3
2678538	3223599	1
3223599	984861	1
2678538	984861	2
1141332	1317805	3
329788	1317805	3
1318872	1317805	3
986551	1001563	3
1350614	1001563	3
12240008	6588621	2
1819684	2473752	2
6515530	2473752	2
7630046	3478010	2
3275343	3478010	2
1389622	3478010	2
7920525	3478010	2
3504780	3478010	2
7921161	3478010	2
1139398	4946364	2
1008823	575828	2
3967255	575828	2
6104489	3713857	1
6104489	6741739	1
6275579	3713857	1
6694980	3713857	1
6694980	6741739	1
6275579	6741739	1
4363387	6315719	1
4363387	1960455	1
4541434	5834064	2
4864334	1250860	1
4864334	114251	1
3715390	109392	1
3715390	5122581	1
5123400	4437396	2
4690741	4437396	2
3480602	4437396	2
1116783	4696809	1
1116783	4867993	1
4331819	3586768	2
5064908	3586768	2
649504	3586768	2
754119	1130119	2
4222861	1130119	2
3700849	1130119	2
1027620	1535827	2
3235483	2700880	1
3235483	3581423	1
629127	3526422	2
3486430	3905567	2
1767759	845059	2
3140707	3213225	1
3140707	422203	1
1053949	2093626	2
2339984	1921385	1
2339984	1401094	1
1165535	1921385	1
1165535	1401094	1
2772605	2208058	1
